Time,P1,P2,P3,P4,S1,S2,S3
2551400,0,0,0,0,0,0,0
2551680,0,0,0,0,0,0,0
2551936,0,0,0,0,106,0,57
2552215,0,0,0,0,0,0,0
2552512,1,0,0,0,0,32,0
2552792,1,0,0,0,0,0,0
2553072,1,1,0,0,0,0,0
2553337,0,1,0,0,0,0,0
2553601,0,1,0,0,0,0,0
2553866,0,1,0,0,0,0,0
2554130,0,0,1,0,0,0,0
2554395,0,0,1,0,0,0,0
2554675,0,0,1,0,0,0,0
2554940,0,0,0,1,0,0,0
2555219,0,0,0,1,0,0,0
2555499,0,0,0,0,0,0,0
2555779,0,0,0,0,0,0,0
2556044,1,0,0,0,0,0,0
2556323,1,0,0,0,0,0,0
2556588,1,0,0,0,0,0,0
2556868,1,1,0,0,0,0,0
2557150,1,1,1,0,0,30,0
2557438,1,1,1,0,0,116,0
2557718,1,0,1,0,0,0,0
2557983,1,0,1,0,0,0,0
2558247,1,0,0,0,0,0,0
2558526,1,0,0,0,0,0,0
2558806,0,0,0,1,0,0,0
2559071,0,0,0,1,0,0,0
2559335,0,0,0,1,0,0,0
2559599,0,0,0,0,0,0,0
2559863,0,0,0,0,0,0,0
2560128,0,0,0,0,0,0,0
2560392,0,0,0,0,0,0,0
2560657,0,0,0,0,0,0,0
2560922,0,1,0,0,0,0,0
2561187,0,1,1,0,0,0,0
2561466,1,1,1,0,0,0,0
2561746,1,0,0,0,0,0,0
2562026,0,0,0,0,0,0,0
2562291,0,0,0,0,0,0,0
2562571,0,0,0,0,0,0,0
2562851,0,0,0,1,0,0,0
2563126,0,0,0,1,89,0,0
2563379,0,0,0,1,123,31,131
2563647,0,0,0,1,140,0,61
2563911,0,0,1,0,0,0,0
2564176,0,1,1,0,0,0,0
2564441,1,1,1,0,0,0,0
2564721,1,1,1,0,0,0,0
2565001,0,1,0,0,0,0,0
2565281,0,0,0,0,0,0,0
2565546,0,0,0,0,0,0,0
2565811,0,0,0,0,0,0,0
2566076,0,0,0,0,0,0,0
2566340,0,0,0,0,0,0,0
2566604,0,0,0,0,0,0,0
2566883,0,0,0,1,0,0,0
2567148,0,0,0,1,0,0,0
2567428,1,0,1,1,0,0,0
2567708,1,1,1,1,0,0,0
2567982,1,1,1,1,131,31,0
2568269,1,0,1,1,129,0,0
2568549,1,0,1,1,0,0,0
2568829,1,0,0,1,0,0,0
2569094,1,0,0,0,0,0,0
2569359,0,0,0,0,0,0,0
2569624,0,0,0,0,0,0,0
2569889,0,0,0,0,0,0,0
2570169,0,0,0,0,0,0,0
2570449,0,0,0,0,0,0,0
2570729,0,0,0,0,0,0,0
2570994,0,0,0,0,0,0,0
2571259,0,1,0,0,0,0,0
2571538,0,1,0,0,0,0,0
2571818,0,1,1,1,0,0,0
2572083,1,1,1,1,0,0,0
2572363,1,0,1,1,0,0,0
2572643,0,0,0,0,0,0,0
2572908,0,0,0,0,0,0,0
2573169,0,0,0,0,0,0,51
2573449,0,0,0,0,0,0,0
2573729,0,0,0,0,0,0,0
2574001,0,0,0,0,138,0,0
2574280,0,0,0,0,0,33,56
2574562,0,0,0,0,0,31,0
2574842,0,1,1,0,0,0,0
2575124,1,1,1,0,0,32,0
2575404,1,1,1,0,0,0,0
2575684,0,0,0,0,0,0,0
2575964,0,0,0,0,0,0,0
2576244,0,0,0,1,0,0,0
2576524,0,0,0,1,0,0,0
