5Time,P1,P2,P3,P4,S1,S2,S3
206673,1,0,0,0,0,0,43
206939,1,0,0,0,0,0,42
207205,1,0,0,0,0,0,43
207471,1,0,1,0,0,0,45
207738,1,0,1,0,0,0,43
208004,1,0,0,0,0,0,45
208270,1,0,0,0,0,0,43
208535,1,0,0,0,0,0,13
208801,1,0,0,1,0,0,45
209065,0,0,0,1,0,0,13
209332,0,0,0,1,0,0,43
209598,0,1,0,1,0,0,43
209864,0,1,0,1,0,0,44
210130,0,1,0,1,0,0,43
210397,0,0,0,1,0,0,43
210663,0,0,1,1,0,0,43
210929,0,0,1,1,0,0,42
211195,1,0,1,1,0,0,42
211461,1,0,1,1,0,0,43
211727,1,0,0,1,0,0,44
211993,1,0,0,0,0,0,43
212259,0,0,0,0,0,0,43
212525,0,0,0,0,0,0,42
212791,0,0,0,0,0,0,42
213057,0,0,0,0,0,0,43
213323,0,0,0,0,0,0,43
213589,0,0,0,0,0,0,43
213855,0,0,0,0,0,0,46
214121,0,0,1,0,0,0,43
214387,0,0,1,0,0,0,44
214653,0,1,0,0,0,0,43
214919,0,1,0,1,0,0,51
215186,1,1,0,1,0,0,43
215452,1,1,0,1,0,0,44
215718,1,1,0,0,0,0,43
215984,1,1,0,0,0,0,43
216250,1,0,0,0,0,0,51
216517,0,0,0,0,0,0,48
216796,0,0,0,0,0,0,0
217076,0,0,1,0,0,0,0
217356,0,0,1,0,0,0,0
217636,0,0,1,0,0,0,0
217916,0,0,0,0,0,0,0
218183,0,0,0,0,0,0,43
218462,0,0,0,0,0,0,0
218729,0,0,0,0,0,0,43
218995,0,0,0,1,0,0,43
219261,0,0,0,1,0,0,43
219527,0,0,0,0,0,0,43
219793,1,0,0,0,0,0,43
220059,1,0,0,0,0,0,50
220326,1,0,0,0,0,0,43
220592,0,1,0,0,0,0,43
220858,0,1,0,0,0,0,43
221124,0,0,0,0,0,0,42
221390,0,0,1,0,0,0,44
221656,0,0,1,0,0,0,44
221922,0,0,1,0,0,0,43
222188,0,0,1,0,0,0,43
222454,0,0,0,0,0,0,43
222720,1,0,0,0,0,0,44
222986,1,0,0,0,0,0,46
223252,0,0,0,0,0,0,43
223518,0,0,0,0,0,0,45
223784,0,0,0,1,0,0,43
224050,0,0,0,1,0,0,43
224316,0,0,0,0,0,0,43
224582,0,1,0,0,0,0,42
224848,0,1,0,0,0,0,43
225114,0,0,0,0,0,0,43
225380,0,0,0,0,0,0,44
225646,0,0,0,0,0,0,43
225912,0,0,0,0,0,0,45
226178,0,0,1,0,0,0,43
226444,0,0,1,0,0,0,47
226710,1,0,1,1,0,0,43
226976,1,0,0,1,0,0,43
227242,1,0,0,0,0,0,44
227508,0,0,0,0,0,0,43
227774,0,1,0,0,0,0,43
228040,0,1,0,0,0,0,46
228306,0,1,0,0,0,0,43
228572,0,1,0,0,0,0,43
228838,0,1,0,0,0,0,44
229104,0,1,1,0,0,0,43
229370,0,1,1,0,0,0,44
229636,0,0,1,0,0,0,44
229902,1,0,1,0,0,0,43
230168,1,0,1,1,0,0,44
230434,1,0,0,1,0,0,44
230700,1,0,0,1,0,0,43
230966,1,0,0,0,0,0,44
231232,1,0,0,0,0,0,45
231498,0,0,0,0,0,0,43
231765,0,0,0,0,0,0,43
232031,0,0,0,0,0,0,44
232297,0,1,0,0,0,0,53
232564,0,1,0,0,0,0,43
232830,0,1,1,0,0,0,43
233096,0,0,1,0,0,0,43
233362,0,0,1,0,0,0,44
233629,0,0,0,0,0,0,43
233895,1,0,0,0,0,0,45
234161,1,0,0,0,0,0,52
234428,0,0,0,0,0,0,45
234694,0,0,0,1,0,0,44
234960,0,0,0,1,0,0,43
235226,0,0,0,0,0,0,43
235492,0,0,0,0,0,0,43
235758,0,0,1,0,0,0,43
236024,0,1,1,0,0,0,43
236290,0,1,1,0,0,0,43
236556,0,1,1,0,0,0,43
236822,0,1,0,0,0,0,43
237088,1,0,0,0,0,0,54
237355,1,0,0,0,0,0,43
237621,1,0,0,0,0,0,43
237887,0,0,0,1,0,0,44
238153,0,0,0,1,0,0,43
238419,0,0,0,1,0,0,44
238685,0,0,0,1,0,0,44
238951,0,0,0,0,0,0,44
239217,0,0,0,0,0,0,43
239483,0,0,0,0,0,0,42
239749,0,0,0,0,0,0,43
240015,0,0,0,0,0,0,44
240281,0,0,0,0,0,0,44
240547,1,0,0,0,0,0,44
240813,1,0,0,0,0,0,43
241079,0,0,0,0,0,0,43
241345,0,0,0,0,0,0,42
241611,0,0,0,0,0,0,43
241877,0,0,0,0,0,0,44
242143,0,0,0,0,0,0,43
242410,0,0,0,0,0,0,58
242676,0,0,0,0,0,0,44
242943,0,1,1,1,0,0,61
243209,0,1,1,1,0,0,43
243488,1,1,1,1,0,0,0
243753,1,1,1,1,0,0,13
244020,0,0,1,1,0,0,43
244286,0,0,0,1,0,0,43
244552,0,0,0,0,0,0,44
244818,0,0,0,0,0,0,43
245084,0,0,0,0,0,0,44
245350,0,0,0,0,0,0,45
245616,0,0,0,0,0,0,43
245882,0,0,0,0,0,0,44
246148,0,0,0,0,0,0,43
246414,0,0,0,0,0,0,43
246681,1,0,0,0,0,0,59
246947,1,1,0,0,0,0,43
247213,0,1,1,0,0,0,43
247479,0,1,1,0,0,0,43
247745,0,1,1,1,0,0,44
248011,0,1,0,1,0,0,43
248277,0,1,0,1,0,0,43
248543,0,1,0,1,0,0,43
248809,0,0,0,1,0,0,43
249075,0,0,0,0,0,0,45
249341,0,0,0,0,0,0,44
249607,0,0,0,0,0,0,44
249873,0,0,0,0,0,0,43
250139,0,0,0,0,0,0,45
250405,0,0,0,0,0,0,45
250671,1,0,0,0,0,0,43
250937,1,1,1,0,0,0,43
251203,1,1,1,1,0,0,45
251469,1,1,1,1,0,0,44
251735,1,0,1,1,0,0,44
252001,1,0,1,1,0,0,43
252267,1,0,1,1,0,0,45
252533,1,0,1,0,0,0,44
252799,0,0,1,0,0,0,43
253065,0,0,0,0,0,0,45
253331,0,0,0,0,0,0,43
253597,0,0,0,0,0,0,43
253863,0,0,0,0,0,0,44
254129,0,0,0,0,0,0,43
254395,0,1,0,0,0,0,44
254661,0,1,0,0,0,0,43
254927,0,1,0,1,0,0,43
255193,0,1,0,1,0,0,43
255459,0,1,0,1,0,0,43
255725,1,0,0,1,0,0,44
255991,1,0,0,0,0,0,43
256257,0,0,1,0,0,0,43
256523,0,0,1,0,0,0,43
256789,0,0,0,0,0,0,42
257055,0,0,0,0,0,0,43
257321,0,0,0,0,0,0,43
257587,0,0,0,0,0,0,44
257853,0,0,0,0,0,0,53
258120,0,1,0,0,0,0,43
258386,0,1,0,0,0,0,44
258652,0,0,0,0,0,0,46
258918,0,0,0,0,0,0,43
259184,0,0,0,1,0,0,43
259450,1,0,1,1,0,0,42
259716,1,0,1,1,0,0,43
259982,0,0,1,0,0,0,43
260248,0,0,1,0,0,0,43
260514,0,0,1,0,0,0,45
260780,0,0,1,0,0,0,43
261047,0,1,1,0,0,0,43
261313,0,1,1,0,0,0,44
261579,0,1,0,0,0,0,44
261846,0,1,0,0,0,0,43
262112,0,0,0,0,0,0,43
262378,0,0,0,0,0,0,43
262644,0,0,0,0,0,0,43
262910,0,0,0,0,0,0,43
263176,0,0,0,1,0,0,43
263442,0,0,0,1,0,0,43
263708,0,0,0,1,0,0,43
263974,1,0,0,1,0,0,43
264240,1,0,0,1,0,0,44
264506,0,1,0,1,0,0,42
264772,0,1,0,0,0,0,43
265038,0,1,0,0,0,0,43
265304,0,0,1,0,0,0,42
265570,0,0,1,0,0,0,43
265836,0,0,0,0,0,0,44
266102,0,0,0,0,0,0,43
266368,0,0,0,0,0,0,43
266634,0,0,0,0,0,0,43
266900,0,0,0,0,0,0,45
267164,0,0,0,0,0,0,12
267430,0,0,0,0,0,0,43
267696,0,0,0,0,0,0,43
267962,0,0,0,0,0,0,44
268228,1,0,1,0,0,0,44
268494,1,0,1,0,0,0,44
268760,1,0,1,1,0,0,46
269026,1,0,1,1,0,0,45
269292,1,0,1,1,0,0,44
269558,1,0,1,1,0,0,42
269824,1,0,1,1,0,0,43
