TS(ms): 890657 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 890937 | PIR: 0,0,0,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 891217 | PIR: 0,0,0,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 891497 | PIR: 1,0,1,0 | US(cm): 206,211,-1 | Delta(cm): 0,0,0
TS(ms): 891777 | PIR: 1,1,1,1 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 892057 | PIR: 0,1,0,1 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 892337 | PIR: 0,0,0,0 | US(cm): 206,217,-1 | Delta(cm): 0,0,0
TS(ms): 892617 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 892897 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 893156 | PIR: 0,0,0,0 | US(cm): 14,39,-1 | Delta(cm): 193,172,0
TS(ms): 893426 | PIR: 0,0,0,0 | US(cm): 23,-1,220 | Delta(cm): 184,0,0
TS(ms): 893706 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 893971 | PIR: 0,0,0,0 | US(cm): 202,209,214 | Delta(cm): 0,0,0
TS(ms): 894235 | PIR: 0,0,0,0 | US(cm): 202,209,215 | Delta(cm): 0,0,0
TS(ms): 894514 | PIR: 0,0,0,0 | US(cm): 203,216,-1 | Delta(cm): 0,0,0
TS(ms): 894794 | PIR: 0,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 895074 | PIR: 0,0,1,1 | US(cm): 203,208,-1 | Delta(cm): 0,0,0
TS(ms): 895354 | PIR: 1,0,1,1 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 895634 | PIR: 1,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 895914 | PIR: 0,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 896194 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 896459 | PIR: 0,0,0,0 | US(cm): 203,210,214 | Delta(cm): 0,0,0
TS(ms): 896724 | PIR: 0,0,0,0 | US(cm): 201,210,216 | Delta(cm): 0,0,0
TS(ms): 896989 | PIR: 0,1,0,0 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 897253 | PIR: 0,1,0,0 | US(cm): 204,209,214 | Delta(cm): 0,0,0
TS(ms): 897532 | PIR: 0,1,0,0 | US(cm): 208,209,-1 | Delta(cm): 0,0,0
TS(ms): 897843 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 898128 | PIR: 0,0,1,1 | US(cm): 16,-1,-1 | Delta(cm): 191,0,0
TS(ms): 898408 | PIR: 0,0,1,1 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 898688 | PIR: 0,0,0,1 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 898968 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 899248 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 899528 | PIR: 1,0,0,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 899808 | PIR: 1,0,0,0 | US(cm): 202,208,-1 | Delta(cm): 0,0,0
TS(ms): 900073 | PIR: 0,0,0,0 | US(cm): 202,213,217 | Delta(cm): 0,0,0
TS(ms): 900353 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 900633 | PIR: 0,0,0,0 | US(cm): 202,217,-1 | Delta(cm): 0,0,0
TS(ms): 900913 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 901193 | PIR: 0,0,0,0 | US(cm): 202,211,-1 | Delta(cm): 0,0,0
TS(ms): 901458 | PIR: 0,0,1,0 | US(cm): 202,217,217 | Delta(cm): 0,0,0
TS(ms): 901723 | PIR: 0,1,1,1 | US(cm): 202,209,216 | Delta(cm): 0,0,0
TS(ms): 902003 | PIR: 0,1,1,1 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 902283 | PIR: 1,1,1,1 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 902563 | PIR: 1,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 902843 | PIR: 1,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 903153 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 903463 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 903743 | PIR: 0,0,0,0 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 904008 | PIR: 0,0,0,0 | US(cm): 202,209,214 | Delta(cm): 0,0,0
TS(ms): 904287 | PIR: 0,0,0,0 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 904552 | PIR: 0,0,0,0 | US(cm): 202,209,214 | Delta(cm): 0,0,0
TS(ms): 904816 | PIR: 0,0,0,0 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 905081 | PIR: 0,0,1,1 | US(cm): 202,211,215 | Delta(cm): 0,0,0
TS(ms): 905360 | PIR: 1,0,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 905625 | PIR: 1,0,0,0 | US(cm): 204,209,215 | Delta(cm): 0,0,0
TS(ms): 905904 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 906184 | PIR: 0,0,0,0 | US(cm): 203,213,-1 | Delta(cm): 0,0,0
TS(ms): 906464 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 906729 | PIR: 0,0,0,0 | US(cm): 204,209,215 | Delta(cm): 0,0,0
TS(ms): 906994 | PIR: 0,1,0,0 | US(cm): 204,210,215 | Delta(cm): 0,0,0
TS(ms): 907258 | PIR: 0,1,0,0 | US(cm): 208,209,215 | Delta(cm): 0,0,0
TS(ms): 907523 | PIR: 0,1,0,0 | US(cm): 205,209,215 | Delta(cm): 0,0,0
TS(ms): 907787 | PIR: 0,0,0,0 | US(cm): 206,209,216 | Delta(cm): 0,0,0
TS(ms): 908052 | PIR: 0,0,0,0 | US(cm): 206,210,215 | Delta(cm): 0,0,0
TS(ms): 908347 | PIR: 0,0,0,0 | US(cm): 207,-1,-1 | Delta(cm): 0,0,0
TS(ms): 908620 | PIR: 1,0,1,0 | US(cm): 9,-1,303 | Delta(cm): 198,0,87
TS(ms): 908900 | PIR: 1,0,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 909180 | PIR: 0,0,1,1 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 909460 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 909740 | PIR: 0,0,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 910020 | PIR: 0,0,0,0 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 910300 | PIR: 0,0,0,0 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 910580 | PIR: 0,0,0,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 910845 | PIR: 0,0,0,0 | US(cm): 207,209,216 | Delta(cm): 0,0,0
TS(ms): 911110 | PIR: 0,0,0,0 | US(cm): 202,216,215 | Delta(cm): 0,0,0
TS(ms): 911389 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 911669 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 911949 | PIR: 1,0,1,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 912229 | PIR: 1,0,1,1 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 912509 | PIR: 0,1,0,1 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 912789 | PIR: 0,1,0,1 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 913069 | PIR: 0,1,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 913349 | PIR: 0,1,0,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 913659 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 913944 | PIR: 0,0,0,0 | US(cm): 16,-1,-1 | Delta(cm): 191,0,0
TS(ms): 914224 | PIR: 0,0,0,0 | US(cm): 207,208,-1 | Delta(cm): 0,0,0
TS(ms): 914504 | PIR: 0,0,0,0 | US(cm): 202,211,-1 | Delta(cm): 0,0,0
TS(ms): 914784 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 915049 | PIR: 0,0,0,0 | US(cm): 202,210,215 | Delta(cm): 0,0,0
TS(ms): 915329 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 915609 | PIR: 0,0,1,1 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 915889 | PIR: 1,0,1,1 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 916169 | PIR: 1,0,0,1 | US(cm): 207,210,-1 | Delta(cm): 0,0,0
TS(ms): 916449 | PIR: 1,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 916714 | PIR: 0,0,0,0 | US(cm): 208,215,216 | Delta(cm): 0,0,0
TS(ms): 916994 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
