TS(ms): 454378 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 454642 | PIR: 0,0,0,0 | US(cm): 210,212,215 | Delta(cm): 0,0,12
TS(ms): 454908 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 455174 | PIR: 0,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 455440 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 455706 | PIR: 0,0,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 455972 | PIR: 0,1,0,1 | US(cm): 209,211,251 | Delta(cm): 0,0,48
TS(ms): 456239 | PIR: 0,1,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 456503 | PIR: 0,1,0,1 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 456767 | PIR: 1,0,0,0 | US(cm): 211,212,206 | Delta(cm): 0,0,0
TS(ms): 457044 | PIR: 1,0,0,0 | US(cm): 138,244,-1 | Delta(cm): 71,33,0
TS(ms): 457306 | PIR: 0,0,1,0 | US(cm): 133,243,196 | Delta(cm): 76,32,0
TS(ms): 457585 | PIR: 0,0,1,0 | US(cm): 170,244,-1 | Delta(cm): 39,33,0
TS(ms): 457850 | PIR: 0,0,0,0 | US(cm): 209,211,207 | Delta(cm): 0,0,0
TS(ms): 458116 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 458380 | PIR: 0,0,0,0 | US(cm): 210,210,210 | Delta(cm): 0,0,0
TS(ms): 458646 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 458910 | PIR: 0,0,0,0 | US(cm): 210,211,214 | Delta(cm): 0,0,11
TS(ms): 459177 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 459443 | PIR: 1,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
