TS(ms): 59156 | PIR: 0,0,0,0 | US(cm): 209,211,248 | Delta(cm): 0,0,45
TS(ms): 59422 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 59688 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 59954 | PIR: 0,0,0,0 | US(cm): 211,211,245 | Delta(cm): 0,0,42
TS(ms): 60220 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 60486 | PIR: 0,0,1,0 | US(cm): 210,212,248 | Delta(cm): 0,0,45
TS(ms): 60752 | PIR: 0,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 61018 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 61284 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 61548 | PIR: 1,0,0,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 61812 | PIR: 1,0,0,0 | US(cm): 209,211,214 | Delta(cm): 0,0,11
TS(ms): 62094 | PIR: 1,0,0,1 | US(cm): -1,243,212 | Delta(cm): 0,32,0
TS(ms): 62361 | PIR: 1,0,0,1 | US(cm): 210,243,211 | Delta(cm): 0,32,0
TS(ms): 62624 | PIR: 1,1,0,1 | US(cm): 154,210,248 | Delta(cm): 55,0,45
TS(ms): 62889 | PIR: 1,1,0,1 | US(cm): 210,211,212 | Delta(cm): 0,0,0
TS(ms): 63154 | PIR: 0,1,0,0 | US(cm): 210,211,219 | Delta(cm): 0,0,16
TS(ms): 63419 | PIR: 0,0,1,0 | US(cm): 209,210,219 | Delta(cm): 0,0,16
TS(ms): 63686 | PIR: 0,0,1,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 63951 | PIR: 0,0,1,0 | US(cm): 192,211,248 | Delta(cm): 17,0,45
TS(ms): 64217 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 64483 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 64747 | PIR: 0,0,0,0 | US(cm): 210,211,213 | Delta(cm): 0,0,0
TS(ms): 65011 | PIR: 0,0,0,0 | US(cm): 209,211,220 | Delta(cm): 0,0,17
TS(ms): 65276 | PIR: 1,0,0,0 | US(cm): 170,211,247 | Delta(cm): 39,0,44
TS(ms): 65541 | PIR: 1,0,0,0 | US(cm): 209,211,227 | Delta(cm): 0,0,24
TS(ms): 65820 | PIR: 1,0,0,1 | US(cm): 208,211,-1 | Delta(cm): 0,0,0
TS(ms): 66084 | PIR: 0,1,0,1 | US(cm): 159,244,214 | Delta(cm): 50,33,11
TS(ms): 66367 | PIR: 0,1,0,1 | US(cm): -1,242,246 | Delta(cm): 0,31,43
TS(ms): 66631 | PIR: 0,1,1,1 | US(cm): 209,217,213 | Delta(cm): 0,0,0
TS(ms): 66897 | PIR: 0,1,1,1 | US(cm): 210,212,245 | Delta(cm): 0,0,42
